Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
main_wing,0.545448,0.000000,0.005165,0.000000
horizontal_tail,0.124324,0.000000,0.000554,0.000000
vertical_tail,0.063834,0.000000,0.000277,0.000000
eVTOL_Fuselage,0.360690,0.000000,0.011329,0.000000
boom_R,0.058800,0.000000,0.000420,0.000000
boom_L,0.058800,0.000000,0.000420,0.000000
MeshGeom,0.058979,0.058979,0.020631,0.020631
Totals,1.270874,0.058979,0.038795,0.020631

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
main_wing_Surf0,0.272724,0.000000
main_wing_Surf1,0.272724,0.000000
horizontal_tail_Surf0,0.062162,0.000000
horizontal_tail_Surf1,0.062162,0.000000
vertical_tail_Surf0,0.063834,0.000000
eVTOL_Fuselage_Surf0,0.360690,0.000000
boom_R_Surf0,0.058800,0.000000
boom_L_Surf0,0.058800,0.000000
MeshGeom_Surf0,0.058979,0.058979
