xflr5 v6.61,,,,,,,,,,,,
,,,,,,,,,,,,
Plane name :,,cog at .1,,,,,,,,,,
Polar name :,,T1-32.0 m/s,#NAME?,cid,,,,,,,,
Freestream spe,ed :,32.000 m/s,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
alpha,Beta,CL,CDi,CDv,CD,CY,Cl,Cm,Cn,Cni,QInf,XCP
-20,0,-1.275572,0.063698,0,0.063698,0,0,-0.360851,0,0,32,0.0486
-19,0,-1.200288,0.056529,0,0.056529,0,0,-0.346992,0,0,32,0.0475
-18,0,-1.12423,0.049698,0,0.049698,0,0,-0.332796,0,0,32,0.0462
-17,0,-1.047441,0.043228,0,0.043228,0,0,-0.318279,0,0,32,0.0448
-16,0,-0.969963,0.037142,0,0.037142,0,0,-0.303459,0,0,32,0.0431
-15,0,-0.891841,0.031459,0,0.031459,0,0,-0.288353,0,0,32,0.0412
-14,0,-0.813122,0.026198,0,0.026198,0,0,-0.272981,0,0,32,0.039
-13,0,-0.733853,0.021379,0,0.021379,0,0,-0.257361,0,0,32,0.0363
-12,0,-0.654082,0.017018,0,0.017018,0,0,-0.241512,0,0,32,0.0329
-11,0,-0.573857,0.013129,0,0.013129,0,0,-0.225454,0,0,32,0.0286
-10,0,-0.493228,0.009728,0,0.009728,0,0,-0.209205,0,0,32,0.0229
-9,0,-0.412247,0.006825,0,0.006825,0,0,-0.192786,0,0,32,0.015
-8,0,-0.330964,0.004433,0,0.004433,0,0,-0.176217,0,0,32,0.0032
-7,0,-0.249431,0.002559,0,0.002559,0,0,-0.159518,0,0,32,-0.0163
-6,0,-0.1677,0.001213,0,0.001213,0,0,-0.14271,0,0,32,-0.0547
-5,0,-0.085824,0.000399,0,0.000399,0,0,-0.125812,0,0,32,-0.1664
-4,0,-0.003856,0.000123,0,0.000123,0,0,-0.108845,0,0,32,-5.0273
-3,0,0.07815,0.000387,0,0.000387,0,0,-0.09183,0,0,32,0.3134
-2,0,0.160142,0.001193,0,0.001193,0,0,-0.074789,0,0,32,0.1847
-1,0,0.242066,0.002539,0,0.002539,0,0,-0.05774,0,0,32,0.1432
0,0,0.32387,0.004423,0,0.004423,0,0,-0.040706,0,0,32,0.1227
1,0,0.405499,0.006843,0,0.006843,0,0,-0.023708,0,0,32,0.1105
2,0,0.486901,0.009792,0,0.009792,0,0,-0.006764,0,0,32,0.1024
3,0,0.568023,0.013263,0,0.013263,0,0,0.010102,0,0,32,0.0966
4,0,0.648814,0.017249,0,0.017249,0,0,0.026872,0,0,32,0.0923
5,0,0.729223,0.021737,0,0.021737,0,0,0.043525,0,0,32,0.089
6,0,0.809197,0.026718,0,0.026718,0,0,0.060039,0,0,32,0.0864
7,0,0.888687,0.032177,0,0.032177,0,0,0.076396,0,0,32,0.0842
8,0,0.967644,0.0381,0,0.0381,0,0,0.092575,0,0,32,0.0824
9,0,1.04602,0.04447,0,0.04447,0,0,0.108557,0,0,32,0.081
10,0,1.123765,0.05127,0,0.05127,0,0,0.124322,0,0,32,0.0797
11,0,1.200836,0.058481,0,0.058481,0,0,0.139851,0,0,32,0.0786
12,0,1.277185,0.066083,0,0.066083,0,0,0.155125,0,0,32,0.0777
13,0,1.352768,0.074055,0,0.074055,0,0,0.170125,0,0,32,0.0769
14,0,1.427544,0.082373,0,0.082373,0,0,0.184833,0,0,32,0.0762
15,0,1.501469,0.091013,0,0.091013,0,0,0.199231,0,0,32,0.0756
16,0,1.574505,0.099952,0,0.099952,0,0,0.213302,0,0,32,0.0751
17,0,1.646613,0.109163,0,0.109163,0,0,0.227028,0,0,32,0.0746
18,0,1.717754,0.11862,0,0.11862,0,0,0.240394,0,0,32,0.0742
19,0,1.787894,0.128295,0,0.128295,0,0,0.253381,0,0,32,0.0739
20,0,1.856999,0.138159,0,0.138159,0,0,0.265976,0,0,32,0.0736
